part_id,num_operations,tool_changes,total_toolpath_time_min,total_cutting_time_min
featured_part_00001,7,5,149.2121,143.768
featured_part_00002,6,4,174.1999,172.63
featured_part_00003,1,0,8.877,8.8748
featured_part_00004,10,4,30.7379,30.1756
featured_part_00005,10,7,33.2709,33.2525
featured_part_00006,3,1,32.9456,32.9123
featured_part_00007,8,4,39.2806,39.174
featured_part_00008,5,1,44.7176,44.7079
featured_part_00009,22,15,34.5328,33.5048
featured_part_00010,8,4,47.3008,47.1371
featured_part_00011,15,10,62.2384,62.1745
featured_part_00012,12,6,80.0847,79.9587
featured_part_00013,3,1,49.1295,49.0778
featured_part_00015,7,1,45.6215,45.6111
featured_part_00016,5,3,12.7938,12.3954
featured_part_00017,10,6,57.1298,56.1042
featured_part_00018,4,3,427.2792,426.8423
featured_part_00019,11,2,46.1125,46.0916
featured_part_00020,23,16,32.5078,32.4714
featured_part_00021,8,6,28.3983,28.3582
featured_part_00022,6,2,85.8197,85.3873
featured_part_00023,2,1,16.1357,16.128
featured_part_00024,3,0,25.3285,25.3258
featured_part_00025,7,5,34.9371,34.8655
featured_part_00026,6,3,23.9294,23.9208
featured_part_00027,4,1,49.8999,49.3694
featured_part_00028,8,3,27.9675,27.2175
featured_part_00029,10,5,264.2188,262.9152
featured_part_00030,4,1,4.6657,4.66
featured_part_00031,3,2,2.8326,2.8202
featured_part_00032,4,1,69.8912,68.855
featured_part_00033,12,3,33.5493,33.5036
featured_part_00034,10,5,129.6388,129.1663
featured_part_00035,11,8,29.5537,29.4987
featured_part_00036,6,4,178.6184,178.4852
featured_part_00037,5,4,11.163,11.1276
featured_part_00039,13,9,19.0674,19.0326
featured_part_00040,6,1,31.8156,31.7448
featured_part_00041,9,8,110.9083,110.7274
featured_part_00042,20,12,76.045,75.0812
featured_part_00043,1,0,19.5673,19.5668
featured_part_00044,2,0,8.1499,8.1487
featured_part_00045,9,5,45.2732,44.1806
featured_part_00046,10,6,95.3298,95.2557
featured_part_00047,8,6,21.9775,21.9239
featured_part_00048,10,7,113.7305,113.5827
featured_part_00049,8,5,108.2777,105.2624
featured_part_00050,13,9,40.2036,40.1439
featured_part_00051,17,7,57.8277,57.7508
featured_part_00052,11,8,48.1891,47.3376
featured_part_00053,4,2,23.5247,23.4815
featured_part_00054,10,2,26.6495,26.6336
featured_part_00055,8,6,4.6658,4.6441
featured_part_00056,15,4,142.0974,141.9124
featured_part_00057,15,12,18.8402,18.7621
featured_part_00058,9,5,89.6255,89.5908
featured_part_00059,9,8,37.6398,36.035
featured_part_00060,13,2,9.756,9.7059
featured_part_00061,4,1,24.4119,24.2232
featured_part_00062,4,2,27.6483,27.6102
featured_part_00063,18,14,25.058,24.9968
featured_part_00064,10,7,45.7675,44.4185
featured_part_00066,13,8,52.6764,52.5235
featured_part_00067,3,2,26.8045,25.925
featured_part_00068,9,5,103.8138,101.3196
featured_part_00069,4,2,20.7517,20.3252
featured_part_00070,8,4,85.5476,84.8415
featured_part_00071,8,3,16.4266,16.3972
featured_part_00072,7,2,167.8428,167.6607
featured_part_00073,5,4,35.7717,35.7066
featured_part_00075,13,10,28.7029,28.5998
featured_part_00076,8,6,33.4419,33.3882
featured_part_00077,6,4,33.9352,33.8655
featured_part_00078,8,7,102.4855,102.3085
featured_part_00079,3,1,30.2654,30.2407
featured_part_00080,15,9,55.5592,55.4567
featured_part_00081,9,4,88.5892,87.7617
featured_part_00082,13,2,14.8053,14.7619
featured_part_00083,7,2,29.8661,29.8032
featured_part_00084,7,6,74.7688,71.6486
featured_part_00085,6,3,21.9777,21.9465
featured_part_00086,4,2,11.5347,11.521
featured_part_00088,18,12,225.3282,225.0161
featured_part_00089,2,1,26.8827,26.8612
featured_part_00091,7,2,133.2069,132.4678
featured_part_00092,14,11,86.4093,85.4278
featured_part_00095,7,5,10.9127,10.8874
featured_part_00097,2,0,21.0509,21.0463
featured_part_00098,6,4,103.0962,102.9717
featured_part_00099,14,12,50.7659,49.5395
featured_part_00101,3,1,77.5012,77.4328
featured_part_00102,12,7,21.9401,21.923
featured_part_00103,23,15,90.4531,89.672
featured_part_00104,14,5,23.3985,23.3092
featured_part_00105,8,6,12.6709,12.6258
featured_part_00106,16,12,169.4501,169.2562
featured_part_00107,10,5,35.4718,35.3832
featured_part_00108,4,3,51.9068,48.8758
featured_part_00109,8,4,132.9045,132.7944
featured_part_00110,4,2,18.9001,18.8737
featured_part_00111,7,2,103.0559,102.9261
featured_part_00113,12,8,28.029,27.9438
featured_part_00114,21,18,305.795,305.0372
featured_part_00115,7,2,29.4318,29.3674
featured_part_00116,9,5,26.2061,25.7744
featured_part_00117,8,3,55.6843,54.2031
featured_part_00118,17,13,13.0726,12.6076
featured_part_00119,11,5,26.3146,26.0083
featured_part_00120,12,10,56.2587,56.1818
featured_part_00121,8,3,76.5835,76.4212
featured_part_00122,6,2,13.872,13.8411
featured_part_00123,27,22,32.1657,31.9282
featured_part_00124,11,7,38.1511,37.3783
featured_part_00125,10,6,106.676,106.5334
featured_part_00126,8,3,6.783,6.7688
featured_part_00127,12,6,184.2791,183.975
featured_part_00128,6,3,36.7109,36.688
featured_part_00130,5,4,201.8393,200.6904
