part,op_index,op_name,gt_dia,kind,open_sides,fillet_radius,depth,area,w,l,det_idx,matched_by,max_inscribed,hull_ratio
featured_part_00057,1,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,51.8,17850.06,39.7,454.5,0,poly,39.698,0.9893
featured_part_00059,4,MILL_CORNER_NOTCH_RECTANGULAR,10.0,corner,2,5.5,29.9,5279.36,69.0,84.6,0,poly,69.0,0.9054
featured_part_00060,1,MILL_RECTANGULAR_SLOT,50.0,slot,2,0.0,35.7,19636.73,50.7,388.8,0,poly,50.697,0.9962
featured_part_00061,3,MILL_CORNER_NOTCH_RECTANGULAR,25.4,corner,2,13.7,17.5,7753.57,66.9,116.5,1,poly,66.9,1.0
featured_part_00061,4,MILL_RECTANGULAR_SLOT,25.4,edge,1,0.0,13.3,7971.6,39.0,204.4,0,poly,38.998,1.0
featured_part_00062,3,MILL_SLOT,20.0,edge,1,14.6,37.9,1591.03,44.8,52.3,0,poly,44.8,0.7067
featured_part_00063,2,MILL_OPEN_POCKET,20.0,edge,1,11.4,33.8,5295.32,50.2,107.2,0,poly,50.2,0.9943
featured_part_00064,8,MILL_CORNER_NOTCH_RECTANGULAR,12.0,corner,2,6.6,37.9,4620.73,63.6,72.8,0,poly,63.6,1.0
featured_part_00064,9,MILL_RECTANGULAR_POCKET,25.0,center,0,14.5,36.9,19723.19,103.9,204.9,1,poly,103.9,0.9344
featured_part_00066,4,MILL_OPEN_POCKET,10.0,slot,2,0.0,37.9,6564.6,21.9,312.7,1,poly,21.899,0.9586
featured_part_00066,5,MILL_RECTANGULAR_POCKET,20.0,center,0,11.6,37.9,9319.38,73.5,130.9,0,poly,73.5,0.9804
featured_part_00066,6,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,37.9,6564.6,21.9,312.7,1,poly,21.899,0.9586
featured_part_00067,2,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,12.0,37.9,10928.1,78.0,140.5,1,poly,78.0,1.0
featured_part_00067,3,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,47.1,8923.97,34.1,261.7,0,poly,34.098,1.0
featured_part_00068,4,MILL_CORNER_NOTCH_RECTANGULAR,6.0,corner,2,3.7,25.9,3721.82,45.4,87.9,0,poly,45.4,0.9333
featured_part_00068,5,MILL_SLOT,12.0,edge,1,6.6,24.4,6382.5,52.0,123.1,1,poly,52.0,1.0
featured_part_00069,2,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,11.0,26.4,6463.63,76.8,84.5,0,poly,76.8,1.0
