part,seq,op,cycle,x,y,z,r,q,f,z1,npecks,zclear,top_z,hole_d,hole_depth,hole_through,hole_bottom,hole_mouth,chain,chain_pos
featured_part_00324,8,SPOT_DRILL,G81,426.6,184.4,147.311,151.0,,250.0,,,158.0,148.00000010000002,16.0,148.00000020000002,1,-1e-07,148.0000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_BLIND_HOLE>GUN_DRILL_THROUGH_HOLE,0
featured_part_00324,9,DRILL_BLIND_HOLE_INTO_CENTER,G81,426.6,184.4,132.4,150.0,,250.0,,,158.0,148.00000010000002,16.0,148.00000020000002,1,-1e-07,148.0000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_BLIND_HOLE>GUN_DRILL_THROUGH_HOLE,1
featured_part_00324,10,DRILL_TO_ENLARGE_BLIND_HOLE,G81,426.6,184.4,123.85,150.0,,250.0,,,158.0,148.00000010000002,16.0,148.00000020000002,1,-1e-07,148.0000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_BLIND_HOLE>GUN_DRILL_THROUGH_HOLE,2
featured_part_00324,11,GUN_DRILL_THROUGH_HOLE,GUN,426.6,184.4,114.489,,,125.0,114.489,3,158.0,148.00000010000002,16.0,148.00000020000002,1,-1e-07,148.0000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_BLIND_HOLE>GUN_DRILL_THROUGH_HOLE,3
featured_part_00333,1,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID,G81,150.4,23.9,39.3,71.9,,250.0,,,79.9,69.90009123654552,28.5,30.600091336545525,0,39.299999899999996,69.90000010000004,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID,0
featured_part_00333,2,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID_1,G81,62.7,382.4,52.3,71.9,,250.0,,,79.9,69.90009123654552,21.0,17.600091336545525,0,52.299999899999996,69.9000001,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID_1,0
featured_part_00333,3,SPOT_DRILL,G81,412.1,8.9,69.474,72.9,,250.0,,,79.9,69.90009123654552,9.9,37.90009133654552,0,31.9999999,69.9000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,0
featured_part_00333,4,DRILL_BLIND_HOLE_INTO_CENTER,G81,412.1,8.9,32.0,71.9,,250.0,,,79.9,69.90009123654552,9.9,37.90009133654552,0,31.9999999,69.9000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,1
featured_part_00348,1,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID,G81,201.8,302.4,35.4,111.1,,250.0,,,119.1,109.10000009999999,15.2,73.70000019999998,0,35.399999900000005,109.10000009999999,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID,0
featured_part_00348,2,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID_1,G81,99.1,132.3,76.5,111.1,,250.0,,,119.1,109.10000009999999,15.2,32.60000019999998,0,76.4999999,109.10000009999999,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID_1,0
featured_part_00356,1,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID,G81,215.4,29.8,35.1,91.2,,250.0,,,113.5,103.50000010000004,20.5,68.40000020000002,0,35.09999990000001,89.2000001,INDEXABLE_INSERT_DRILL_BLIND_HOLE_FROM_SOLID,0
featured_part_00356,10,SPOT_DRILL,G81,180.4,459.0,63.3,69.3,,250.0,,,113.5,103.50000010000004,19.8,103.50000020000003,1,-1e-07,66.30000009999999,SPOT_DRILL>DRILL_THROUGH_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_THROUGH_HOLE,0
featured_part_00356,11,DRILL_THROUGH_HOLE_INTO_CENTER,G73,180.4,459.0,-3.611,68.3,9.987,250.0,,,113.5,103.50000010000004,19.8,103.50000020000003,1,-1e-07,66.30000009999999,SPOT_DRILL>DRILL_THROUGH_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_THROUGH_HOLE,1
featured_part_00356,12,DRILL_TO_ENLARGE_THROUGH_HOLE,G73,180.4,459.0,-7.449,68.3,18.437,250.0,,,113.5,103.50000010000004,19.8,103.50000020000003,1,-1e-07,66.30000009999999,SPOT_DRILL>DRILL_THROUGH_HOLE_INTO_CENTER>DRILL_TO_ENLARGE_THROUGH_HOLE,2
featured_part_00364,1,SPOT_DRILL,G81,275.2,256.0,126.227,129.7,,250.0,,,136.7,126.7000001000002,11.0,73.8000002000002,0,52.899999900000005,126.7000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,0
featured_part_00364,2,SPOT_DRILL_1,G81,75.5,219.8,126.209,129.7,,250.0,,,136.7,126.7000001000002,11.4,64.00000020000019,0,62.6999999,126.7000001,SPOT_DRILL_1>DRILL_BLIND_HOLE_INTO_CENTER_1,0
featured_part_00364,3,DRILL_BLIND_HOLE_INTO_CENTER,G81,275.2,256.0,52.9,128.7,,250.0,,,136.7,126.7000001000002,11.0,73.8000002000002,0,52.899999900000005,126.7000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,1
featured_part_00364,4,DRILL_BLIND_HOLE_INTO_CENTER_1,G81,75.5,219.8,62.7,128.7,,250.0,,,136.7,126.7000001000002,11.4,64.00000020000019,0,62.6999999,126.7000001,SPOT_DRILL_1>DRILL_BLIND_HOLE_INTO_CENTER_1,1
featured_part_00372,1,SPOT_DRILL,G81,302.4,14.0,49.822,53.3,,250.0,,,60.3,50.30000010000005,11.1,29.200000200000048,0,21.0999999,50.3000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,0
featured_part_00372,2,SPOT_DRILL_1,G81,244.5,147.5,49.758,53.3,,250.0,,,60.3,50.30000010000005,12.6,22.10000020000005,0,28.199999899999998,50.3000001,SPOT_DRILL_1>DRILL_BLIND_HOLE_INTO_CENTER_1,0
featured_part_00372,3,DRILL_BLIND_HOLE_INTO_CENTER,G81,302.4,14.0,21.1,52.3,,250.0,,,60.3,50.30000010000005,11.1,29.200000200000048,0,21.0999999,50.3000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,1
featured_part_00372,4,DRILL_BLIND_HOLE_INTO_CENTER_1,G81,244.5,147.5,28.2,52.3,,250.0,,,60.3,50.30000010000005,12.6,22.10000020000005,0,28.199999899999998,50.3000001,SPOT_DRILL_1>DRILL_BLIND_HOLE_INTO_CENTER_1,1
featured_part_00387,6,SPOT_DRILL,G81,114.6,140.0,104.873,108.2,,250.0,,,141.1,131.1000001,7.6,45.90000019999998,0,85.19999990000001,105.2000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,0
featured_part_00387,7,DRILL_BLIND_HOLE_INTO_CENTER,G81,114.6,140.0,85.2,107.2,,250.0,,,141.1,131.1000001,7.6,45.90000019999998,0,85.19999990000001,105.2000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER,1
featured_part_00394,7,SPOT_DRILL,G81,136.0,119.9,119.7,125.7,,250.0,,,132.7,122.70000010000001,24.0,122.7000002,1,-1e-07,122.7000001,SPOT_DRILL>DRILL_BLIND_HOLE_INTO_CENTER>GUN_DRILL_THROUGH_HOLE>SPADE_DRILL_TO_ENLARGE_THROUGH_HOLE>DRILL_TO_ENLARGE_THROUGH_HOLE,0
