tool_name,tool_type,tool_diameter_mm,lower_radius_mm
NXT0201_002,Milling Tool-5 Parameters,6.000000000,1.000000000
NXT0201_004,Milling Tool-5 Parameters,10.000000000,2.000000000
NXT0201_006,Milling Tool-5 Parameters,16.000000000,4.000000000
NXT0201_007,Milling Tool-5 Parameters,25.000000000,3.000000000
NXT0201_008,Milling Tool-5 Parameters,6.000000000,0.000000000
NXT0201_009,Milling Tool-5 Parameters,8.000000000,0.000000000
NXT0201_010,Milling Tool-5 Parameters,10.000000000,0.000000000
NXT0201_011,Milling Tool-5 Parameters,12.000000000,0.000000000
NXT0201_012,Milling Tool-5 Parameters,16.000000000,0.000000000
NXT0201_013,Milling Tool-5 Parameters,10.000000000,0.000000000
NXT0301_012,Drilling Tool,4.100000000,
NXT0301_020,Drilling Tool,4.900000000,
NXT0301_021,Drilling Tool,5.000000000,
NXT0301_022,Drilling Tool,5.100000000,
NXT0301_023,Drilling Tool,5.200000000,
NXT0301_024,Drilling Tool,5.300000000,
NXT0301_026,Drilling Tool,5.500000000,
NXT0301_028,Drilling Tool,5.700000000,
NXT0301_029,Drilling Tool,5.800000000,
NXT0301_030,Drilling Tool,5.900000000,
NXT0301_031,Drilling Tool,6.000000000,
NXT0301_032,Drilling Tool,6.100000000,
NXT0301_033,Drilling Tool,6.200000000,
NXT0301_035,Drilling Tool,6.400000000,
NXT0301_036,Drilling Tool,6.500000000,
NXT0301_037,Drilling Tool,6.600000000,
NXT0301_038,Drilling Tool,6.700000000,
NXT0301_039,Drilling Tool,6.800000000,
NXT0301_040,Drilling Tool,6.900000000,
NXT0301_041,Drilling Tool,7.000000000,
NXT0301_042,Drilling Tool,7.100000000,
NXT0301_045,Drilling Tool,7.400000000,
NXT0301_046,Drilling Tool,7.500000000,
NXT0301_049,Drilling Tool,7.800000000,
NXT0301_051,Drilling Tool,8.000000000,
NXT0301_052,Drilling Tool,8.100000000,
NXT0301_053,Drilling Tool,8.200000000,
NXT0301_055,Drilling Tool,8.400000000,
NXT0301_056,Drilling Tool,8.500000000,
NXT0301_057,Drilling Tool,8.600000000,
NXT0301_058,Drilling Tool,8.700000000,
NXT0301_059,Drilling Tool,8.800000000,
NXT0301_061,Drilling Tool,9.000000000,
NXT0301_062,Drilling Tool,9.100000000,
NXT0301_064,Drilling Tool,9.300000000,
NXT0301_065,Drilling Tool,9.400000000,
NXT0301_066,Drilling Tool,9.500000000,
NXT0301_067,Drilling Tool,9.600000000,
NXT0301_069,Drilling Tool,9.800000000,
NXT0301_071,Drilling Tool,10.000000000,
NXT0301_072,Drilling Tool,10.100000000,
NXT0301_073,Drilling Tool,10.200000000,
NXT0301_074,Drilling Tool,10.300000000,
NXT0301_076,Drilling Tool,10.500000000,
NXT0301_077,Drilling Tool,10.600000000,
NXT0301_079,Drilling Tool,10.800000000,
NXT0301_081,Drilling Tool,11.000000000,
NXT0301_082,Drilling Tool,11.100000000,
NXT0301_083,Drilling Tool,11.200000000,
NXT0301_084,Drilling Tool,11.300000000,
NXT0301_086,Drilling Tool,11.500000000,
NXT0301_087,Drilling Tool,11.600000000,
NXT0301_088,Drilling Tool,11.700000000,
NXT0301_089,Drilling Tool,11.800000000,
NXT0301_091,Drilling Tool,12.000000000,
NXT0301_092,Drilling Tool,12.100000000,
NXT0301_093,Drilling Tool,12.200000000,
NXT0301_096,Drilling Tool,12.500000000,
NXT0301_097,Drilling Tool,12.600000000,
NXT0301_098,Drilling Tool,12.700000000,
NXT0301_099,Drilling Tool,12.800000000,
NXT0301_101,Drilling Tool,13.000000000,
NXT0301_102,Drilling Tool,13.500000000,
NXT0301_103,Drilling Tool,13.800000000,
NXT0301_104,Drilling Tool,14.000000000,
NXT0301_105,Drilling Tool,14.250000000,
NXT0301_106,Drilling Tool,14.500000000,
NXT0301_111,Drilling Tool,16.100000000,
NXT0301_125,Drilling Tool,6.000000000,
NXT0301_126,Drilling Tool,8.000000000,
NXT0301_127,Drilling Tool,10.000000000,
