tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
NXT0201_002,Milling Tool-5 Parameters,ENDMILL 6mm (R216.24-06050CBC13P 1620),"PVD (TI,AL)N",6.0,,57.0,,,,,4.0
NXT0201_004,Milling Tool-5 Parameters,ENDMILL 10mm (R216.24-10050EBC22P 1620),"PVD (TI,AL)N",10.0,,72.0,,,,,4.0
NXT0201_006,Milling Tool-5 Parameters,ENDMILL 16mm (R216.24-16050ICC32P 1620),"PVD (TI,AL)N",16.0,,92.0,,,,,4.0
NXT0201_007,Milling Tool-5 Parameters,ENDMILL 25mm (R216.25-25050GCK54P 1620),"PVD (TI,AL)N",25.0,,155.0,,,,,5.0
NXT0201_008,Milling Tool-5 Parameters,ENDMILL 6mm (2P460-0600-NA 1630),"PVD (TI,AL)N",6.0,,76.0,,,,,6.0
NXT0201_009,Milling Tool-5 Parameters,ENDMILL 8mm (2P460-0800-NA 1630),"PVD (TI,AL)N",8.0,,76.0,,,,,6.0
NXT0201_010,Milling Tool-5 Parameters,ENDMILL 10mm (2P460-1000-NA 1630),"PVD (TI,AL)N",10.0,,76.0,,,,,6.0
NXT0201_011,Milling Tool-5 Parameters,ENDMILL 12mm (2P460-1200-NA 1630),"PVD (TI,AL)N",12.0,,100.0,,,,,6.0
NXT0201_012,Milling Tool-5 Parameters,ENDMILL 16mm (2P460-1600-NA 1630),"PVD (TI,AL)N",16.0,,100.0,,,,,6.0
NXT0201_013,Milling Tool-5 Parameters,ENDMILL 10mm,HSM END MILL TIALN COATED,10.0,,40.0,,,,,4.0
NXT0301_012,Drilling Tool,Carbide Drill 4.1mm (860.1-0410-033A1-MM 2214),"PVD (TI,AL)N",4.1,0.0,102.0,58.0,140.0,0.746139,,2.0
NXT0301_020,Drilling Tool,Carbide Drill 4.9mm (860.1-0490-025A1-MM 2214),"PVD (TI,AL)N",4.9,0.0,82.0,44.0,140.0,0.891727,,2.0
NXT0301_021,Drilling Tool,Carbide Drill 5mm (860.1-0500-015A1-MM 2214),"PVD (TI,AL)N",5.0,0.0,66.0,28.0,140.0,0.909926,,2.0
NXT0301_022,Drilling Tool,Carbide Drill 5.1mm (860.1-0510-015A1-MM 2214),"PVD (TI,AL)N",5.1,0.0,66.0,28.0,140.0,0.928124,,2.0
NXT0301_023,Drilling Tool,Carbide Drill 5.2mm (860.1-0520-016A1-MM 2214),"PVD (TI,AL)N",5.2,0.0,66.0,28.0,140.0,0.946323,,2.0
NXT0301_024,Drilling Tool,Carbide Drill 5.3mm (860.1-0530-027A1-MM 2214),"PVD (TI,AL)N",5.3,0.0,82.0,44.0,140.0,0.964521,,2.0
NXT0301_026,Drilling Tool,Carbide Drill 5.5mm (860.1-0550-017A1-MM 2214),"PVD (TI,AL)N",5.5,0.0,66.0,28.0,140.0,1.00092,,2.0
NXT0301_028,Drilling Tool,Carbide Drill 5.7mm (860.1-0570-046A1-MM 2214),"PVD (TI,AL)N",5.7,0.0,107.0,70.0,140.0,1.03732,,2.0
NXT0301_029,Drilling Tool,Carbide Drill 5.8mm (860.1-0580-017A1-MM 2214),"PVD (TI,AL)N",5.8,0.0,66.0,28.0,140.0,1.05551,,2.0
NXT0301_030,Drilling Tool,Carbide Drill 5.9mm (860.1-0590-018A1-MM 2214),"PVD (TI,AL)N",5.9,0.0,66.0,28.0,140.0,1.07371,,2.0
NXT0301_031,Drilling Tool,Carbide Drill 6mm (860.1-0600-018A1-MM 2214),"PVD (TI,AL)N",6.0,0.0,66.0,28.0,140.0,1.09191,,2.0
NXT0301_032,Drilling Tool,Carbide Drill 6.1mm (860.1-0610-031A1-MM 2214),"PVD (TI,AL)N",6.1,0.0,91.0,53.0,140.0,1.11011,,2.0
NXT0301_033,Drilling Tool,Carbide Drill 6.2mm (860.1-0620-031A1-MM 2214),"PVD (TI,AL)N",6.2,0.0,91.0,53.0,140.0,1.12831,,2.0
NXT0301_035,Drilling Tool,Carbide Drill 6.4mm (860.1-0640-032A1-MM 2214),"PVD (TI,AL)N",6.4,0.0,91.0,53.0,140.0,1.1647,,2.0
NXT0301_036,Drilling Tool,Carbide Drill 6.5mm (860.1-0650-033A1-MM 2214),"PVD (TI,AL)N",6.5,0.0,91.0,53.0,140.0,1.1829,,2.0
NXT0301_037,Drilling Tool,Carbide Drill 6.6mm (860.1-0660-033A1-MM 2214),"PVD (TI,AL)N",6.6,0.0,91.0,53.0,140.0,1.2011,,2.0
NXT0301_038,Drilling Tool,Carbide Drill 6.7mm (860.1-0670-034A1-MM 2214),"PVD (TI,AL)N",6.7,0.0,91.0,53.0,140.0,1.2193,,2.0
NXT0301_039,Drilling Tool,Carbide Drill 6.8mm (860.1-0680-034A1-MM 2214),"PVD (TI,AL)N",6.8,0.0,91.0,53.0,140.0,1.2375,,2.0
NXT0301_040,Drilling Tool,Carbide Drill 6.9mm (860.1-0690-035A1-MM 2214),"PVD (TI,AL)N",6.9,0.0,91.0,53.0,140.0,1.2557,,2.0
NXT0301_041,Drilling Tool,Carbide Drill 7mm (860.1-0700-035A1-MM 2214),"PVD (TI,AL)N",7.0,0.0,91.0,53.0,140.0,1.2739,,2.0
NXT0301_042,Drilling Tool,Carbide Drill 7.1mm (860.1-0710-057A1-MM 2214),"PVD (TI,AL)N",7.1,0.0,124.0,85.0,140.0,1.29209,,2.0
NXT0301_045,Drilling Tool,Carbide Drill 7.4mm (860.1-0740-022A1-MM 2214),"PVD (TI,AL)N",7.4,0.0,79.0,41.0,140.0,1.34669,,2.0
NXT0301_046,Drilling Tool,Carbide Drill 7.5mm (860.1-0750-038A1-MM 2214),"PVD (TI,AL)N",7.5,0.0,91.0,53.0,140.0,1.36489,,2.0
NXT0301_049,Drilling Tool,Carbide Drill 7.8mm (860.1-0780-039A1-MM 2214),"PVD (TI,AL)N",7.8,0.0,91.0,53.0,140.0,1.41948,,2.0
NXT0301_051,Drilling Tool,Carbide Drill 8mm (860.1-0800-040A1-MM 2214),"PVD (TI,AL)N",8.0,0.0,91.0,53.0,140.0,1.45588,,2.0
NXT0301_052,Drilling Tool,Carbide Drill 8.1mm (860.1-0810-024A1-MM 2214),"PVD (TI,AL)N",8.1,0.0,89.0,47.0,140.0,1.47408,,2.0
NXT0301_053,Drilling Tool,Carbide Drill 8.2mm (860.1-0820-025A1-MM 2214),"PVD (TI,AL)N",8.2,0.0,89.0,47.0,140.0,1.49228,,2.0
NXT0301_055,Drilling Tool,Carbide Drill 8.4mm (860.1-0840-042A1-MM 2214),"PVD (TI,AL)N",8.4,0.0,103.0,61.0,140.0,1.52867,,2.0
NXT0301_056,Drilling Tool,Carbide Drill 8.5mm (860.1-0850-026A1-MM 2214),"PVD (TI,AL)N",8.5,0.0,89.0,47.0,140.0,1.54687,,2.0
NXT0301_057,Drilling Tool,Carbide Drill 8.6mm (860.1-0860-026A1-MM 2214),"PVD (TI,AL)N",8.6,0.0,89.0,47.0,140.0,1.56507,,2.0
NXT0301_058,Drilling Tool,Carbide Drill 8.7mm (860.1-0870-026A1-MM 2214),"PVD (TI,AL)N",8.7,0.0,89.0,47.0,140.0,1.58327,,2.0
NXT0301_059,Drilling Tool,Carbide Drill 8.8mm (860.1-0880-026A1-MM 2214),"PVD (TI,AL)N",8.8,0.0,89.0,47.0,140.0,1.60147,,2.0
NXT0301_061,Drilling Tool,Carbide Drill 9mm (860.1-0900-027A1-MM 2214),"PVD (TI,AL)N",9.0,0.0,89.0,47.0,140.0,1.63787,,2.0
NXT0301_062,Drilling Tool,Carbide Drill 9.1mm (860.1-0910-027A1-MM 2214),"PVD (TI,AL)N",9.1,0.0,89.0,47.0,140.0,1.65606,,2.0
NXT0301_064,Drilling Tool,Carbide Drill 9.3mm (860.1-0930-028A1-MM 2214),"PVD (TI,AL)N",9.3,0.0,89.0,47.0,140.0,1.69246,,2.0
NXT0301_065,Drilling Tool,Carbide Drill 9.4mm (860.1-0940-075A1-MM 2214),"PVD (TI,AL)N",9.4,0.0,139.0,98.0,140.0,1.71066,,2.0
NXT0301_066,Drilling Tool,Carbide Drill 9.5mm (860.1-0950-029A1-MM 2214),"PVD (TI,AL)N",9.5,0.0,89.0,47.0,140.0,1.72886,,2.0
NXT0301_067,Drilling Tool,Carbide Drill 9.6mm (860.1-0960-029A1-MM 2214),"PVD (TI,AL)N",9.6,0.0,89.0,47.0,140.0,1.74706,,2.0
NXT0301_069,Drilling Tool,Carbide Drill 9.8mm (860.1-0980-029A1-MM 2214),"PVD (TI,AL)N",9.8,0.0,89.0,47.0,140.0,1.78345,,2.0
NXT0301_071,Drilling Tool,Carbide Drill 10mm (860.1-1000-030A1-MM 2214),"PVD (TI,AL)N",10.0,0.0,89.0,47.0,140.0,1.81985,,2.0
NXT0301_072,Drilling Tool,Carbide Drill 10.1mm (860.1-1010-051A1-MM 2214),"PVD (TI,AL)N",10.1,0.0,118.0,71.0,140.0,1.83805,,2.0
NXT0301_073,Drilling Tool,Carbide Drill 10.2mm (860.1-1020-031A1-MM 2214),"PVD (TI,AL)N",10.2,0.0,102.0,55.0,140.0,1.85625,,2.0
NXT0301_074,Drilling Tool,Carbide Drill 10.3mm (860.1-1030-031A1-MM 2214),"PVD (TI,AL)N",10.3,0.0,102.0,55.0,140.0,1.87445,,2.0
NXT0301_076,Drilling Tool,Carbide Drill 10.5mm (860.1-1050-032A1-MM 2214),"PVD (TI,AL)N",10.5,0.0,102.0,55.0,140.0,1.91084,,2.0
NXT0301_077,Drilling Tool,Carbide Drill 10.6mm (860.1-1060-053A1-MM 2214),"PVD (TI,AL)N",10.6,0.0,118.0,71.0,140.0,1.92904,,2.0
NXT0301_079,Drilling Tool,Carbide Drill 10.8mm (860.1-1080-032A1-MM 2214),"PVD (TI,AL)N",10.8,0.0,102.0,55.0,140.0,1.96544,,2.0
NXT0301_081,Drilling Tool,Carbide Drill 11mm (860.1-1100-033A1-MM 2214),"PVD (TI,AL)N",11.0,0.0,102.0,55.0,140.0,2.00184,,2.0
NXT0301_082,Drilling Tool,Carbide Drill 11.1mm (860.1-1110-033A1-MM 2214),"PVD (TI,AL)N",11.1,0.0,102.0,55.0,140.0,2.02003,,2.0
NXT0301_083,Drilling Tool,Carbide Drill 11.2mm (860.1-1120-056A1-MM 2214),"PVD (TI,AL)N",11.2,0.0,118.0,72.0,140.0,2.03823,,2.0
NXT0301_084,Drilling Tool,Carbide Drill 11.3mm (860.1-1130-034A1-MM 2214),"PVD (TI,AL)N",11.3,0.0,102.0,55.0,140.0,2.05643,,2.0
NXT0301_086,Drilling Tool,Carbide Drill 11.5mm (860.1-1150-035A1-MM 2214),"PVD (TI,AL)N",11.5,0.0,102.0,55.0,140.0,2.09283,,2.0
NXT0301_087,Drilling Tool,Carbide Drill 11.6mm (860.1-1160-058A1-MM 2214),"PVD (TI,AL)N",11.6,0.0,118.0,72.0,140.0,2.11103,,2.0
NXT0301_088,Drilling Tool,Carbide Drill 11.7mm (860.1-1170-035A1-MM 2214),"PVD (TI,AL)N",11.7,0.0,102.0,55.0,140.0,2.12923,,2.0
NXT0301_089,Drilling Tool,Carbide Drill 11.8mm (860.1-1180-035A1-MM 2214),"PVD (TI,AL)N",11.8,0.0,102.0,55.0,140.0,2.14742,,2.0
NXT0301_091,Drilling Tool,Carbide Drill 12mm (860.1-1200-036A1-MM 2214),"PVD (TI,AL)N",12.0,0.0,102.0,55.0,140.0,2.18382,,2.0
NXT0301_092,Drilling Tool,Carbide Drill 12.1mm (860.1-1210-061A1-MM 2214),"PVD (TI,AL)N",12.1,0.0,124.0,77.0,140.0,2.20202,,2.0
